wc_year,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,top_scorer,goal_number
2011,1,Japan,6.0,4.0,1.0,1.0,12.0,6.0,6.0,13.0,1,5
2011,2,USA,6.0,3.0,2.0,1.0,13.0,7.0,6.0,11.0,1,4
2011,3,Sweden,6.0,5.0,0.0,1.0,10.0,6.0,4.0,15.0,1,3
2011,4,France,6.0,2.0,1.0,3.0,10.0,10.0,0.0,7.0,2,2
2011,QF,Brazil,4.0,3.0,1.0,0.0,9.0,2.0,7.0,10.0,1,4
2011,QF,Germany,4.0,3.0,0.0,1.0,7.0,4.0,3.0,9.0,2,2
2011,QF,England,4.0,2.0,2.0,0.0,6.0,3.0,3.0,8.0,1,2
2011,QF,Australia,4.0,2.0,0.0,2.0,6.0,7.0,-1.0,6.0,1,2
2011,GR,Nigeria,3.0,1.0,0.0,2.0,1.0,2.0,-1.0,3.0,1,1
2011,GR,Norway,3.0,1.0,0.0,2.0,2.0,5.0,-3.0,3.0,2,1
2011,GR,Mexico,3.0,0.0,2.0,1.0,3.0,7.0,-4.0,2.0,2,1
2011,GR,New Zealand,3.0,0.0,1.0,2.0,4.0,6.0,-2.0,1.0,2,1
2011,GR,Korea DPR,3.0,0.0,1.0,2.0,0.0,3.0,-3.0,1.0,0,0
2011,GR,Colombia,3.0,0.0,1.0,2.0,0.0,4.0,-4.0,1.0,0,0
2011,GR,Equ. Guinea,3.0,0.0,0.0,3.0,2.0,7.0,-5.0,0.0,1,2
2011,GR,Canada,3.0,0.0,0.0,3.0,1.0,7.0,-6.0,0.0,1,1
