Round,Date,Home,Away,score_home,score_away,pen_home,pen_away,result,pen_result,home_rank,away_rank
Group stage,2015-06-06,Canada,China PR,1,0,0,0,H,0,11,14
Group stage,2015-06-07,Norway,Thailand,4,0,0,0,H,0,10,30
Group stage,2015-06-07,Germany,Côte d'Ivoire,10,0,0,0,H,0,2,67
Group stage,2015-06-06,New Zealand,Netherlands,0,1,0,0,A,0,16,12
Group stage,2015-06-08,Sweden,Nigeria,3,3,0,0,D,0,7,29
Group stage,2015-06-08,Cameroon,Ecuador,6,0,0,0,H,0,43,54
Group stage,2015-06-08,USA,Australia,3,1,0,0,H,0,1,9
Group stage,2015-06-09,France,England,1,0,0,0,H,0,3,5
Group stage,2015-06-09,Spain,Costa Rica,1,1,0,0,D,0,19,34
Group stage,2015-06-09,Colombia,Mexico,1,1,0,0,D,0,25,26
Group stage,2015-06-08,Japan,Switzerland,1,0,0,0,H,0,4,21
Group stage,2015-06-09,Brazil,Korea Rep,2,0,0,0,H,0,6,17
Group stage,2015-06-11,China PR,Netherlands,1,0,0,0,H,0,14,12
Group stage,2015-06-11,Germany,Norway,1,1,0,0,D,0,2,10
Group stage,2015-06-11,Côte d'Ivoire,Thailand,2,3,0,0,A,0,67,30
Group stage,2015-06-12,Australia,Nigeria,2,0,0,0,H,0,9,29
Group stage,2015-06-12,Switzerland,Ecuador,10,1,0,0,H,0,21,54
Group stage,2015-06-11,Canada,New Zealand,0,0,0,0,D,0,11,16
Group stage,2015-06-13,France,Colombia,0,2,0,0,A,0,3,25
Group stage,2015-06-13,Brazil,Spain,1,0,0,0,H,0,6,19
Group stage,2015-06-13,England,Mexico,2,1,0,0,H,0,5,26
Group stage,2015-06-13,Korea Rep,Costa Rica,2,2,0,0,D,0,17,34
Group stage,2015-06-12,Japan,Cameroon,2,1,0,0,H,0,4,43
Group stage,2015-06-12,USA,Sweden,0,0,0,0,D,0,1,7
Group stage,2015-06-15,Thailand,Germany,0,4,0,0,A,0,30,2
Group stage,2015-06-15,Côte d'Ivoire,Norway,1,3,0,0,A,0,67,10
Group stage,2015-06-15,China PR,New Zealand,2,2,0,0,D,0,14,16
Group stage,2015-06-15,Netherlands,Canada,1,1,0,0,D,0,12,11
Group stage,2015-06-16,Switzerland,Cameroon,1,2,0,0,A,0,21,43
Group stage,2015-06-16,Ecuador,Japan,0,1,0,0,A,0,54,4
Group stage,2015-06-17,England,Colombia,2,1,0,0,H,0,5,25
Group stage,2015-06-17,Mexico,France,0,5,0,0,A,0,26,3
Group stage,2015-06-16,Nigeria,USA,0,1,0,0,A,0,29,1
Group stage,2015-06-16,Australia,Sweden,1,1,0,0,D,0,9,7
Group stage,2015-06-17,Korea Rep,Spain,2,1,0,0,H,0,17,19
Group stage,2015-06-18,Costa Rica,Brazil,0,1,0,0,A,0,34,6
Round of 16,2015-06-20,Germany,Sweden,4,1,0,0,H,0,2,7
Round of 16,2015-06-20,China PR,Cameroon,1,0,0,0,H,0,14,43
Round of 16,2015-06-21,Brazil,Australia,0,1,0,0,A,0,6,9
Round of 16,2015-06-21,Canada,Switzerland,1,0,0,0,H,0,11,21
Round of 16,2015-06-21,France,Korea Rep,3,0,0,0,H,0,3,17
Round of 16,2015-06-22,Norway,England,1,2,0,0,A,0,10,5
Round of 16,2015-06-22,USA,Colombia,2,0,0,0,H,0,1,25
Round of 16,2015-06-23,Japan,Netherlands,2,1,0,0,H,0,4,12
Quarter-finals,2015-06-26,Germany,France,1,1,5,4,D,H,2,3
Quarter-finals,2015-06-26,China PR,USA,0,1,0,0,A,0,14,1
Quarter-finals,2015-06-27,Australia,Japan,0,1,0,0,A,0,9,4
Quarter-finals,2015-06-27,England,Canada,2,1,0,0,H,0,5,11
Semi-finals,2015-06-30,USA,Germany,2,0,0,0,H,0,1,2
Semi-finals,2015-07-01,Japan,England,2,1,0,0,H,0,4,5
Third-place match,2015-07-04,Germany,England,0,1,0,0,A,0,2,5
Final,2015-07-05,USA,Japan,5,2,0,0,H,0,1,4
