id,nation
0,Albania
1,Algeria
2,Andorra
3,Angola
4,Anguilla
5,Antigua
6,Argentina
7,Armenia
8,Australia
9,Austria
10,Azerbaijan
11,Bahrain
12,Bangladesh
13,Barbados
14,Belarus
15,Belgium
16,Benin
17,Bhutan
18,Bolivia
19,Bosnia & Herz'na
20,Botswana
21,Brazil
22,Bulgaria
23,Burkina Faso
24,Burundi
25,Cameroon
26,Canada
27,Cape Verde
28,Chile
29,China PR
30,Chinese Taipei
31,Colombia
32,Congo
33,Costa Rica
34,Croatia
35,Cuba
36,Cyprus
37,Czech Republic
38,Côte d'Ivoire
39,Denmark
40,Dominican Rep.
41,Ecuador
42,Egypt
43,El Salvador
44,England
45,Equ. Guinea
46,Estonia
47,Eswatini
48,Ethiopia
49,Faroe Islands
50,Fiji
51,Finland
52,France
53,Gambia
54,Georgia
55,Germany
56,Ghana
57,Gibraltar
58,Greece
59,Guam
60,Guatemala
61,Guinea-Bissau
62,Guyana
63,Haiti
64,Honduras
65,Hong Kong
66,Hungary
67,IR Iran
68,Iceland
69,India
70,Indonesia
71,Israel
72,Italy
73,Jamaica
74,Japan
75,Jordan
76,Kazakhstan
77,Korea Rep
78,Kosovo
79,Laos
80,Latvia
81,Lebanon
82,Liberia
83,Liechtenstein
84,Lithuania
85,Luxembourg
86,Malaysia
87,Maldives
88,Mali
89,Malta
90,Mauritius
91,Mexico
92,Moldova
93,Mongolia
94,Montenegro
95,Morocco
96,Mozambique
97,Myanmar
98,N. Macedonia
99,Namibia
100,Nepal
101,Netherlands
102,New Zealand
103,Nicaragua
104,Niger
105,Nigeria
106,Northern Ireland
107,Norway
108,Pakistan
109,Palestine
110,Panama
111,Papua NG
112,Paraguay
113,Peru
114,Philippines
115,Poland
116,Portugal
117,Puerto Rico
118,Rep. of Ireland
119,Romania
120,Russia
121,Saudi Arabia
122,Scotland
123,Senegal
124,Serbia
125,Seychelles
126,Sierra Leone
127,Singapore
128,Slovakia
129,Slovenia
130,Solomon Islands
131,South Africa
132,Spain
133,St. Kitts & Nevis
134,St. Lucia
135,Sudan
136,Suriname
137,Sweden
138,Switzerland
139,Syria
140,Tahiti
141,Tajikistan
142,Tanzania
143,Thailand
144,Togo
145,Tonga
146,Trin & Tobago
147,Tunisia
148,Türkiye
149,UAE
150,US Virgin Islands
151,USA
152,Uganda
153,Ukraine
154,Uruguay
155,Uzbekistan
156,Vanuatu
157,Venezuela
158,Vietnam
159,Wales
160,Zambia
